Time,Power (CH1),Power (CH2)
5,0,0
10,0,0
15,9.0000003183377E-06,0
20,9.0000003183377E-06,0
25,0,0
30,0,0
35,0,0
40,0,0
45,0,0
50,30.0739727020264,0
55,30.043981552124,0
60,30.0319862365723,0
65,30.0199909210205,0
70,30.0199909210205,0
75,30.0199909210205,0
80,30.0199909210205,0
85,30.0199909210205,0
90,30.0079936981201,0
95,30.0079936981201,0
100,30.0079936981201,0
105,30.0079936981201,0
110,29.978006362915,0
115,29.9900016784668,0
120,29.9900016784668,0
125,29.9900016784668,0
130,29.9900016784668,0
135,29.978006362915,0
140,29.978006362915,0
145,29.9900016784668,0
150,29.9900016784668,0
155,29.9900016784668,0
160,29.978006362915,0
165,29.9900016784668,0
170,29.978006362915,0
175,29.978006362915,0
180,29.9900016784668,0
185,29.978006362915,0
190,29.978006362915,0
195,29.978006362915,0
200,29.978006362915,0
205,29.9900016784668,0
210,29.9900016784668,0
215,29.9900016784668,0
220,29.978006362915,0
225,29.978006362915,0
230,29.978006362915,0
235,29.978006362915,0
240,29.978006362915,0
245,29.978006362915,0
250,29.978006362915,0
255,29.978006362915,0
260,29.9959983825684,0
265,29.9959983825684,0
270,29.9959983825684,0
275,29.9959983825684,0
280,29.9959983825684,0
285,29.9959983825684,0
290,29.9959983825684,0
295,29.9959983825684,0
300,29.9959983825684,0
305,29.9900016784668,0
310,29.9900016784668,0
315,29.9900016784668,0
320,29.9900016784668,0
325,29.9900016784668,0
330,29.9900016784668,0
335,29.9900016784668,0
340,29.9900016784668,0
345,30.0079936981201,0
350,30.0079936981201,0
355,30.0079936981201,0
360,30.0079936981201,0
365,30.0079936981201,0
370,30.0079936981201,0
375,30.0079936981201,0
380,30.0079936981201,0
385,30.0079936981201,0
390,30.0079936981201,0
395,30.0079936981201,0
400,30.0079936981201,0
405,30.0079936981201,0
410,30.0079936981201,0
415,30.0079936981201,0
420,30.0079936981201,0
425,30.0079936981201,0
430,30.0079936981201,0
435,30.0079936981201,0
440,30.0079936981201,0
445,30.0079936981201,0
450,30.0079936981201,0
455,30.0079936981201,0
460,30.0079936981201,0
465,30.0079936981201,0
470,30.0079936981201,0
475,30.0079936981201,0
480,30.0079936981201,0
485,30.0079936981201,0
490,30.0079936981201,0
495,30.0079936981201,0
500,30.0079936981201,0
505,30.0079936981201,0
510,30.0079936981201,0
515,30.0079936981201,0
520,30.0079936981201,0
525,30.0079936981201,0
530,30.0079936981201,0
535,30.0079936981201,0
540,29.9959983825684,0
545,30.0079936981201,0
550,29.9959983825684,0
555,29.9959983825684,0
560,30.0079936981201,0
565,29.9959983825684,0
570,30.0079936981201,0
575,30.0079936981201,0
580,30.0079936981201,0
585,30.0079936981201,0
590,30.0079936981201,0
595,30.0079936981201,0
600,30.0079936981201,0
605,30.0079936981201,0
610,29.9959983825684,0
615,29.9959983825684,0
620,30.0079936981201,0
625,29.9959983825684,0
630,29.9959983825684,0
635,30.0079936981201,0
640,30.0079936981201,0
645,29.9959983825684,0
650,29.9959983825684,0
655,29.9959983825684,0
660,29.9959983825684,0
665,29.9959983825684,0
670,29.9959983825684,0
675,29.9959983825684,0
680,29.9959983825684,0
685,29.9959983825684,0
690,29.9959983825684,0
695,29.9959983825684,0
700,29.9959983825684,4.10502624511719
705,29.9959983825684,3.95504999160767
710,29.9959983825684,3.88605618476868
715,29.9959983825684,3.93403220176697
720,29.9959983825684,3.88605618476868
725,29.9959983825684,3.71814012527466
730,29.9959983825684,3.69415211677551
735,29.9959983825684,3.69415211677551
740,29.9900016784668,3.72733473777771
745,29.9959983825684,3.69415211677551
750,30.0079936981201,3.67016410827637
755,30.0079936981201,3.8260862827301
760,30.0199909210205,3.8260862827301
765,30.0199909210205,3.64617609977722
770,30.0199909210205,3.69415211677551
775,30.0199909210205,3.73293304443359
780,30.0199909210205,3.64617609977722
785,30.0199909210205,3.73013401031494
790,30.0199909210205,3.67567205429077
795,30.0199909210205,3.69415211677551
800,30.0199909210205,3.69415211677551
805,30.0199909210205,3.67016410827637
810,30.0199909210205,3.6221878528595
815,30.0199909210205,3.58620595932007
820,30.0199909210205,3.59820032119751
825,30.0199909210205,3.56221795082092
830,30.0199909210205,3.58620595932007
835,30.0199909210205,3.67291808128357
840,30.0199909210205,3.69415211677551
845,30.0199909210205,3.6516478061676
850,30.0199909210205,3.56221795082092
855,30.0199909210205,3.71814012527466
860,30.0199909210205,3.6221878528595
865,30.0079936981201,3.53822994232178
870,30.0079936981201,3.56221795082092
875,30.0199909210205,3.56221795082092
880,30.0199909210205,3.7209300994873
885,30.0199909210205,3.59820032119751
890,30.0199909210205,3.56221795082092
895,30.0079936981201,3.58620595932007
900,30.0199909210205,3.59820032119751
905,30.0079936981201,3.56221795082092
910,30.0199909210205,3.59820032119751
915,30.0199909210205,3.6221878528595
920,30.0079936981201,3.6221878528595
925,30.0079936981201,3.69137978553772
930,30.0079936981201,3.53822994232178
935,30.0199909210205,3.67016410827637
940,30.0199909210205,3.59820032119751
945,30.0199909210205,3.64617609977722
950,30.0199909210205,3.71814012527466
955,30.0199909210205,3.69415211677551
960,20.8483066558838,3.53822994232178
965,20.8582992553711,3.66740989685059
970,20.8682918548584,3.7209300994873
975,20.8682918548584,3.7209300994873
980,20.8682918548584,3.58620595932007
985,20.8682918548584,3.67016410827637
990,20.8682918548584,3.73013401031494
995,20.8682918548584,3.73013401031494
1000,20.8782825469971,3.71255993843079
1005,20.8782825469971,3.64617609977722
1010,20.8782825469971,3.59820032119751
1015,20.8782825469971,3.66740989685059
1020,20.8782825469971,3.66740989685059
1025,20.8782825469971,3.73013401031494
1030,20.8782825469971,3.69137978553772
1035,20.8782825469971,3.71814012527466
1040,20.8782825469971,3.75412201881409
1045,20.8782825469971,3.71814012527466
1050,20.8782825469971,3.71814012527466
1055,20.8782825469971,3.73013401031494
1060,20.8782825469971,3.71534991264343
1065,20.8782825469971,3.59820032119751
1070,20.8782825469971,3.59820032119751
1075,20.8782825469971,3.71814012527466
1080,20.8782825469971,3.6221878528595
1085,20.8782825469971,3.69692397117615
1090,20.8832778930664,3.6221878528595
1095,20.8832778930664,3.69692397117615
1100,20.8832778930664,3.7209300994873
1105,20.8832778930664,3.67567205429077
1110,20.8832778930664,3.59820032119751
1115,20.8832778930664,3.64343976974487
1120,20.8832778930664,3.59820032119751
