Time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
2,26.3570289611816,25.2789344787598,25.9848232269287,24.887866973877,26.6523857116699,25.4025344848633,26.5494518280029,26.2308197021484
4,26.2777709960938,25.2650890350342,26.0329780578613,24.8328895568848,26.5795497894287,25.3196659088135,26.4659824371338,26.0951805114746
6,26.1688194274902,25.1900463104248,26.0682926177979,24.8224544525146,26.5215625762939,25.2664947509766,26.3704719543457,25.9709777832031
8,26.0917682647705,25.1342658996582,26.1086235046387,24.7801170349121,26.460563659668,25.1918525695801,26.2908134460449,25.8479785919189
10,26.0040855407715,25.0933322906494,26.1345081329346,24.7409915924072,26.4035797119141,25.1683769226074,26.2175769805908,25.790994644165
12,25.9348602294922,25.0752735137939,26.1495571136475,24.717716217041,26.3486022949219,25.185230255127,26.1507606506348,25.7073230743408
14,25.8158740997314,25.0517978668213,26.1511611938477,24.6904277801514,26.2797775268555,25.1976718902588,26.077522277832,25.5943565368652
16,25.7223720550537,25.0102634429932,26.1359119415283,24.6374549865723,26.2161712646484,25.1390819549561,25.9964599609375,25.489616394043
18,25.6236515045166,24.9753494262695,26.0841445922852,24.6131763458252,26.1373157501221,25.0945358276367,25.929443359375,25.3684234619141
20,25.5136947631836,24.9494667053223,26.0243511199951,24.5535831451416,26.0510368347168,25.0461807250977,25.8359394073486,25.276927947998
22,25.4189891815186,24.9310073852539,25.9840202331543,24.5423469543457,25.9671649932861,24.9801654815674,25.765510559082,25.2107124328613
24,25.3385276794434,24.9149551391602,25.922420501709,24.5608062744141,25.9214172363281,24.9524765014648,25.6882610321045,25.269905090332
26,25.2530498504639,24.8617820739746,25.8331298828125,24.5832786560059,25.855001449585,24.9109420776367,25.5825176239014,25.3196659088135
28,25.1687774658203,24.8294773101807,25.7849750518799,24.5708389282227,25.7522678375244,24.8635883331299,25.5227241516113,25.3776550292969
30,25.1683769226074,24.8216514587402,25.7189598083496,24.6488914489746,25.7707290649414,24.8908767700195,25.6720085144043,25.4442710876465
32,25.1908493041992,24.8395099639893,25.6547527313232,24.750020980835,25.8273124694824,24.9695320129395,25.7251815795898,25.4334354400635
34,25.2223510742188,24.8563652038574,25.6539497375488,24.8559627532959,25.865837097168,25.0626335144043,25.7378215789795,25.4027347564697
36,25.2586688995361,24.8786373138428,25.6262607574463,24.9582958221436,25.9378700256348,25.1461029052734,26.6875,25.3650131225586
38,25.2965908050537,24.880241394043,25.6300716400146,25.0666465759277,26.0058898925781,25.2388038635254,27.8019123077393,25.426212310791
40,25.3481578826904,24.8706111907959,25.6176319122314,25.1595478057861,26.0648822784424,25.3313045501709,29.0214653015137,25.5289440155029
42,25.3808650970459,24.8820476531982,25.614221572876,25.2472324371338,26.1327018737793,25.4290199279785,29.0427341461182,25.6970901489258
44,25.4424648284912,24.908332824707,25.6465263366699,25.3172588348389,26.1989154815674,25.5014553070068,27.7938861846924,25.8736629486084
46,25.5379734039307,24.9356212615967,25.6910705566406,25.3529739379883,26.2292137145996,25.6122150421143,27.7704105377197,25.9826145172119
48,25.6332836151123,24.9683284759521,25.7524700164795,25.4209957122803,26.2689437866211,25.7287921905518,28.3510913848877,25.9970626831055
50,25.7023067474365,25.1073780059814,25.7631034851074,25.4968414306641,26.3389701843262,25.8531951904297,29.3392944335938,25.8241004943848
52,25.7669162750244,25.2400074005127,25.7584896087646,25.5877361297607,26.4140129089355,25.9601421356201,30.3736476898193,25.220344543457
54,25.8234996795654,25.3313045501709,25.7416343688965,25.6296710968018,26.4671859741211,26.01833152771,30.6629848480225,24.8772315979004
56,25.8682441711426,25.4133701324463,25.6950836181641,25.6619758605957,26.5368118286133,26.0518398284912,30.6684036254883,24.6226062774658
58,25.8770732879639,25.4775791168213,25.6607723236084,25.6788311004639,26.623893737793,26.0929737091064,30.5500183105469,24.4065074920654
60,25.8682441711426,25.5271396636963,25.638500213623,25.720365524292,26.6919136047363,26.1461448669434,30.6872634887695,24.2522068023682
62,25.8734607696533,25.5572357177734,25.6057929992676,25.6970901489258,26.7521095275879,26.2055377960205,31.2673435211182,24.0379123687744
64,25.8584117889404,25.59255027771,25.606595993042,25.7027072906494,26.8048801422119,26.23703956604,31.2234020233154,23.9694900512695
66,25.8419589996338,25.6411075592041,25.6184349060059,25.6930770874023,26.8542404174805,26.2727546691895,31.049036026001,23.8499031066895
68,25.8134670257568,25.6730117797852,25.6427135467529,25.6788311004639,26.8925647735596,26.1750392913818,30.8973445892334,23.8069629669189
70,25.7984180450439,25.6854515075684,25.6716079711914,25.6800346374512,26.9208564758301,26.0686950683594,30.6684036254883,23.8302383422852
72,25.7899913787842,25.7554798126221,25.7584896087646,25.8401527404785,26.9477424621582,25.9296436309814,30.3680286407471,23.8687629699707
74,25.858814239502,25.8820896148682,25.9786014556885,26.0670890808105,27.5218048095703,25.7592906951904,30.1499214172363,23.9060840606689
76,25.9035587310791,25.893928527832,26.1902885437012,26.0347843170166,28.8673648834229,25.5833206176758,29.9775638580322,23.828031539917
78,25.9525184631348,25.8477783203125,26.3847179412842,25.9701747894287,29.2006454467773,25.4362449645996,30.5632610321045,23.601095199585
80,25.9878311157227,25.808650970459,26.566707611084,25.9119853973389,29.2056617736816,25.2797374725342,30.6198444366455,23.4160957336426
82,26.0486297607422,25.7749423980713,26.8403949737549,25.854398727417,29.090087890625,25.167573928833,31.1929035186768,23.2461452484131
84,26.1186561584473,25.7366180419922,27.4389362335205,25.8224964141846,28.9183311462402,25.0471839904785,31.842809677124,23.204610824585
86,26.1738357543945,25.663782119751,27.8029155731201,25.7815628051758,28.8254299163818,24.9109420776367,32.4680366516113,23.2423324584961
88,26.2093505859375,25.6067962646484,28.0607509613037,25.708927154541,28.7421588897705,24.7636642456055,32.9142837524414,23.2904891967773
90,26.2211875915527,25.5961627960205,28.2114391326904,25.6804351806641,28.6695232391357,24.6145801544189,33.1147308349609,23.349681854248
92,26.269947052002,25.561450958252,28.3157768249512,25.6627788543701,28.6157493591309,24.4919834136963,33.2794647216797,23.4219150543213
94,26.2962322235107,25.5337600708008,28.4313526153564,25.6535491943359,28.5673923492432,24.4081115722656,33.3675498962402,23.4247245788574
96,26.3347568511963,25.4906196594238,28.5027828216553,25.6322803497314,28.5260581970215,24.3272495269775,33.4259414672852,23.4142913818359
98,26.3512096405029,25.4755725860596,28.5948829650879,25.6112117767334,28.4967632293701,24.2506008148193,33.5509452819824,23.3874034881592
100,26.3612422943115,25.4396553039551,28.6815624237061,25.6053924560547,28.4837226867676,24.1851902008057,33.7395553588867,23.3773708343506
102,26.3855209350586,25.4105606079102,28.7527942657471,25.6080017089844,28.4564342498779,24.1384372711182,33.9040908813477,23.3480758666992
104,26.3993663787842,25.3900947570801,28.8302440643311,25.5991725921631,28.4419860839844,24.0856666564941,33.907299041748,23.3466720581055
106,26.4136123657227,25.3912982940674,28.8826141357422,25.6200408935547,28.422924041748,24.0194530487061,33.7050437927246,23.3320236206055
108,26.4262523651123,25.376651763916,28.9131126403809,25.6288681030273,28.408878326416,23.9377880096436,33.6480598449707,23.2951049804688
110,26.4372882843018,25.3589935302734,28.9341812133789,25.6280651092529,28.4082775115967,23.8474941253662,33.6693305969238,23.2926959991455
112,26.4627723693848,25.351167678833,28.9985904693604,25.610408782959,28.4078750610352,23.7551956176758,33.5320854187012,23.2519645690918
114,26.484842300415,25.365816116333,29.089485168457,25.6389007568359,28.4034614562988,23.6869735717773,32.8107452392578,23.2379188537598
116,26.4906616210938,25.365213394165,29.1376419067383,25.6401042938232,28.3854026794434,23.5900611877441,30.6816463470459,23.1999969482422
118,26.5065135955811,25.3238792419434,29.1514854431152,25.539176940918,28.3053436279297,23.4821109771729,28.5766220092773,23.1857490539551
120,26.4734058380127,25.2388038635254,29.0848693847656,25.4380493164063,28.0372753143311,23.4281349182129,27.0009155273438,23.1713027954102
122,26.4170227050781,25.177806854248,28.9115085601807,25.3726387023926,27.7922801971436,23.3577079772949,25.836742401123,23.1313743591309
124,26.3732814788818,25.114200592041,28.7590141296387,25.3034133911133,27.5611305236816,23.2792530059814,25.029125213623,23.1109066009521
126,26.3100757598877,25.0692539215088,28.6380214691162,25.2329845428467,27.3494453430176,23.2042102813721,24.4582748413086,23.0920467376709
128,26.2627239227295,25.0088596343994,28.5513401031494,25.18141746521,27.19775390625,23.1377944946289,24.0455360412598,23.0659618377686
130,26.1965084075928,24.9765548706055,28.4921493530273,25.1274433135986,27.0362300872803,23.0792045593262,23.7511825561523,23.0394763946533
132,26.1579837799072,24.9402370452881,28.3904190063477,25.1059741973877,26.8731021881104,23.0035591125488,23.5784225463867,23.0123882293701
134,26.0857486724854,24.9029159545898,28.2557830810547,25.0774822235107,26.7047557830811,22.9455718994141,23.4247245788574,22.981689453125
136,26.0594635009766,24.8814468383789,28.1486358642578,25.0475845336914,26.5508575439453,22.8899917602539,23.285472869873,22.9576110839844
138,26.0163249969482,24.8459300994873,28.0543308258057,25.0263156890869,26.425651550293,22.8167533874512,23.1993942260742,22.9321269989014
140,25.9671649932861,24.8371028900146,28.009183883667,25.0028400421143,26.3058624267578,22.7988967895508,23.1377944946289,22.9148712158203
142,25.9278373718262,24.795166015625,27.9279193878174,24.9805679321289,26.2035312652588,22.7481307983398,23.080810546875,22.9425621032715
144,25.8985424041748,24.7728939056396,27.8472595214844,24.9639129638672,26.1134395599365,22.7011795043945,23.0509128570557,22.9375457763672
146,25.8804836273193,24.7552375793457,27.7320861816406,24.9474601745605,26.0109062194824,22.6504154205322,23.0244274139404,22.9305229187012
148,25.8385486602783,24.7293529510498,27.6945648193359,24.9320106506348,25.9529190063477,22.6116886138916,22.9951324462891,22.9216938018799
150,25.8034343719482,24.7020645141602,27.6371784210205,24.9063262939453,25.8439655303955,22.5900192260742,22.9937267303467,22.9106578826904
152,25.7618999481201,24.6765823364258,27.5826015472412,24.8786373138428,25.7677192687988,22.5723609924316,22.9614219665527,22.9078483581543
